"","name","category","main_category","currency","deadline","goal","launched","pledged","backers","country","usd.pledged","usd_pledged_real","usd_goal_real","class"
"32491","Would You Rather","Playing Cards","Games","CAD","2015-03-02",7000,"2015-02-05 05:34:58",1,1,"CA",0.79,0.8,5615.27,"failed"
"338228","to fire earth into stone","Crafts","Crafts","USD","2013-04-25",2222,"2013-03-26 17:26:42",2953,51,"US",2953,2953,2222,"successful"
"173876","Infinite Blank","Video Games","Games","USD","2010-10-21",1000,"2010-09-17 16:37:05",2379,106,"US",2379,2379,1000,"successful"
"137427","Perfect Harmony: Summit Chorale with the Westfield Symphony","Classical Music","Music","USD","2011-03-11",5000,"2011-01-25 22:34:44",6130,55,"US",6130,6130,5000,"successful"
"160078","Randan Discotheque - The Curse & The Cure 1","Music","Music","GBP","2014-09-26",300,"2014-08-27 19:09:54",315,15,"GB",522.57,513.72,489.25,"successful"
"304542","Flatpack: Fix the Future! Optimistic Apocalyptic RPG","Games","Games","USD","2012-02-13",1000,"2012-01-12 11:25:27",7854.66,209,"US",7854.66,7854.66,1000,"successful"
"89361","TURNING POINT ""the journey""","Documentary","Film & Video","GBP","2014-10-20",21000,"2014-09-17 11:24:51",5272.5,36,"GB",8562.06,8462.67,33706.24,"failed"
"10340","KATE CAN'T SWIM","Narrative Film","Film & Video","USD","2015-07-03",60000,"2015-06-03 04:00:40",60985,313,"US",60985,60985,60000,"successful"
"193240","The Convenient Speaker Dock by RockSpun","Product Design","Design","AUD","2014-03-03",4800,"2014-02-01 02:29:16",151,7,"AU",131.89,137.89,4383.16,"failed"
"340666","Tri0 : A card game for one who likes original game mechanics","Tabletop Games","Games","USD","2017-04-05",1500,"2017-02-24 06:50:55",409,29,"US",44,409,1500,"failed"
"352779","Breakaway, a novel by Alex Kuehn","Fiction","Publishing","USD","2014-09-28",100,"2014-08-29 07:58:09",500,20,"US",500,500,100,"successful"
"158645","Badly Drawn Underwear","Digital Art","Art","AUD","2014-11-09",15,"2014-10-10 08:23:49",16,3,"AU",14.16,13.88,13.01,"successful"
"181376","For Such A Time As This","Nonfiction","Publishing","USD","2015-02-20",3500,"2014-12-22 19:38:29",3800,67,"US",3800,3800,3500,"successful"
"154542","SERIAL - Thrilling Short Film Experience","Thrillers","Film & Video","USD","2017-01-06",14400,"2016-12-08 17:15:21",1869,36,"US",150,1869,14400,"failed"
"70142","International Falls","Theater","Theater","USD","2013-01-02",800,"2012-12-24 05:48:51",1495,52,"US",1495,1495,800,"successful"
"13587","""Rogue Wing.""  An animated short by Dark Matter Video!","Animation","Film & Video","USD","2011-06-12",4999,"2011-04-13 22:33:07",7172.55,89,"US",7172.55,7172.55,4999,"successful"
"89773","Whines and Spirits","Theater","Theater","GBP","2017-05-03",1500,"2017-04-03 11:37:06",1500,35,"GB",31.36,1940.92,1940.92,"successful"
